تاریخ,عنوان,اولویت,ماژول‌ها,سین,ID,وضعیت
1404/09/19,جلسه شیشم میزبان محمدصالح,low,"[{""type"":""game"",""name"":""بادکمبت"",""desc"":"""",""items"":[{""name"":""بادکنک"",""type"":""buy""}]},{""type"":""story"",""name"":""داستان همنشین حضرت موسی "",""desc"":"""",""items"":[{""name"":""کلاه گیس"",""type"":""have""},{""name"":""نامه اول جزیره"",""type"":""buy""},{""name"":""چتر"",""type"":""have""},{""name"":""عینک افتابی"",""type"":""have""}]},{""type"":""other"",""name"":""هدیه روز مادر طرح فلش "",""desc"":""فلش های که به فلش بعدی اشاره دارن تا مادر با دنبال کردنشون برسه به دل نوشته بچه ها"",""items"":[{""name"":""پرینت کاغذ ها"",""type"":""buy""}]}]","۱۸:۳۰ تا ۱۸:۴۵ آنچه گذشت

 ۱۸:۴۵ تا ۱۹:۲۰ بازی 
بادکمبت

۱۹:۲۵ تا ۱۹:۴۵ پذیرایی و داستان
همنشین حضرت موسی

 ۱۹:۴۵ تا ۲۰:۳۰ ساخت کاردستی و هدیه روز مادر ",1767381788525,Active
۱۴۰۴/۰۹/۲۶,جلسه هفتم میزبان عماد,low,"[{""type"":""game"",""name"":""قل بال "",""desc"":"""",""items"":[{""name"":""توپ پینگ پنگ"",""type"":""have""},{""name"":""لیوان"",""type"":""have""},{""name"":""چسب"",""type"":""have""}]},{""type"":""story"",""name"":""جهانگرد و جزیره پازونگا"",""desc"":"""",""items"":[{""name"":""کلاه گیس"",""type"":""buy""},{""name"":""چتر"",""type"":""buy""},{""name"":""چتر"",""type"":""have""}]},{""type"":""yade_hazrat"",""name"":""یاد حضرت جهانگرد و جزیره پازونگا"",""desc"":"""",""items"":[]}]","18:30 تا 18:50 
مرور سریع قوانین ، سوال درباره اتفاقی که بعد از اینکه هدیه رو دادن به اولیا ری اکشن چی بوده 

18:50 تا 19:30 
داستان جهانگرد و یاد حضرتش

19:30 تا 19:45 پذیرایی 

19:45 تا 20:30 
بازی قل بال
",1767382153858,Active
۱۴۰۴/۱۰/۰۳,جلسه هشتم میزبان علی مجردی,low,"[{""type"":""game"",""name"":""تیر و سپر "",""desc"":"""",""items"":[{""name"":""زوبین"",""type"":""have""},{""name"":""لیوان"",""type"":""have""},{""name"":""توپ"",""type"":""have""}]},{""type"":""yade_hazrat"",""name"":""یاد حضرت بازی سپر "",""desc"":"""",""items"":[]},{""type"":""story"",""name"":""داستان مرد اصفهانی و امام هادی علیه السلام"",""desc"":""به مناسبت شهادت حضرت امام هادی علی السلام"",""items"":[]}]","۱۸:۳۰ تا ۱۸:۵۰ تجمیع 
پرسش درباره شغل اینده بچه ها و دعا

۱۸:۵۰ تا ۱۹:۴۵ بازی سپر و یاد حضرتش

۱۹:۴۵ تا ۲۰:۱۵ داستان مرد اصفهانی و امام هادی علیه السلام 

۲۰:۱۵ تا ۲۰:۳۰ پذیرایی ",1767382851613,Active
۱۴۰۴/۱۰/۱۰,جلسه نهم میزبان مهدیار شکوری,low,"[{""type"":""game"",""name"":""جرثقیل بادکنکی"",""desc"":"""",""items"":[{""name"":""بادکنک"",""type"":""have""},{""name"":""لیوان"",""type"":""have""}]},{""type"":""yade_hazrat"",""name"":""سلام "",""desc"":"""",""items"":[{""name"":""پرینت کاغذش"",""type"":""buy""}]},{""type"":""story"",""name"":""قسمت اول عماد الدین بازرگان"",""desc"":"""",""items"":[{""name"":""لباس پاره"",""type"":""have""},{""name"":""سنگ پا"",""type"":""have""},{""name"":""کیف به عنوان اسب طلایی"",""type"":""have""}]}]","18:30 تا 18:50
اومدن بچه ها دعا و انچه گذشت

18:50تا 19:15 
یاد حضرت سلام و بازیش

19:15 تا 19:45 
داستان عماد الدین 

19:45 تا 20
پذیرایی

20 تا 20:30 
بازی",1767383052193,Active
۱۴۰۴/۱۰/۱۷,جلسه دهم منزل مهدیار خاطریان,low,"[{""type"":""game"",""name"":""بازی یادحضرت طاووس"",""desc"":""لوازم برای نشون دادن عکس ها "",""items"":[{""name"":""لبتاب"",""type"":""have""},{""name"":""hdmi"",""type"":""have""}]},{""type"":""story"",""name"":""ابزار ها (محتوای روز پدر)"",""desc"":"""",""items"":[{""name"":""پتو"",""type"":""buy""},{""name"":""لامپ شارژی"",""type"":""have""},{""name"":""لیوان پلاستیکی و کیسه فریزر"",""type"":""buy""}]},{""type"":""yade_hazrat"",""name"":""یادحضرت طاووس"",""desc"":"""",""items"":[]},{""type"":""other"",""name"":""هدیه روز پدر ابزار ها( جعبه ابزار)"",""desc"":"""",""items"":[{""name"":""پرینت کاغذ ها"",""type"":""have""},{""name"":""قیچی و چسب"",""type"":""have""}]}]","18:30 تا 18:45
 شروع بازی مخصوص این خونه

18:45 تا 18:50 
دعا

18:50 تا 19:15 
بازی یادحضرت طاووس

19:15 تا 19:25 
یادحضرت طاووس

19:25 تا 19:35
پذیرایی

19:35 تا 19:50 
نمایش ابزار ها

19:50 تا 20:30 
درست کردن کاردستی ",1767779719716,Active
۱۴۰۴/۱۱/۱,جلسه یازدهم خونه سجاد,low,"[{""type"":""game"",""name"":""مهره تاور "",""desc"":"""",""items"":[{""name"":""مهره"",""type"":""have""},{""name"":""سیخ کباب"",""type"":""have""}]},{""type"":""story"",""name"":""داستان انگیزشی نیمه شعبان حضرت یوسف"",""desc"":"""",""items"":[]}]","18:30 تا 18:45
 شروع بازی مخصوص این خونه

18:45 تا 18:50 
دعا

18:50 تا 19:20
بازی مهره تاور

19:15 تا 19:45
داستان انگیزشی1

19:45 تا 20
پذیرایی و یاد حضرت

20 تا 20:30
صحبت درباره جشن و مسئولیت ها",1769118889922,Active
1404/11/08,جلسه دوازدهم خونه محمدمهدی,high,"[{""type"":""game"",""name"":""تورنادو"",""desc"":"""",""items"":[{""name"":""چسب کاغذی"",""type"":""buy""}]},{""type"":""story"",""name"":""داستان انگیزشی ۱"",""desc"":"""",""items"":[]},{""type"":""other"",""name"":""برگه صله مراسم نیمه شعبان برای اولیا"",""desc"":"""",""items"":[]}]","۱۸:۳۰ تا ۱۸:۴۵ 
بازی این خونه هوپ

۱۸:۴۵ تا ۱۸:۵۰ 
دعا و شروع 

۱۸:۵۰ تا ۱۹:۲۰ 
بازی تورنادو

۱۹:۲۰ تا ۱۹:۵۰ 
داستان انگیزشی ۱

۱۹:۵۰ تا ۲۰:۳۰ 
پذیرایی و صحبت درباره نیمه و مسئولیت ها",1769494545218,Active
۱۴۰۴/۱۱/۱۴,اردو,low,"[{""type"":""trip"",""name"":""جشن پشت خطی های دبستان صدف"",""desc"":"""",""items"":[]}]",۱۶:۳۰ تا ۱۹,1770138550217,Active
۱۴۰۴/۱۱/۱۷,جشن کلاسی بچه ها,low,"[{""type"":""yade_hazrat"",""name"":""مهمونی پادشاه مناسب جشن"",""desc"":"""",""items"":[]},{""type"":""yade_hazrat"",""name"":""ذوالقرنین و غار تاریک"",""desc"":"""",""items"":[]},{""type"":""yade_hazrat"",""name"":""نبود صاحب اصلی جشن و عدد بزرگ رویه شمع"",""desc"":"""",""items"":[]}]"," ۹ تا ۱۶:۳۰ اماده سازی 
 ۱۷ تا ۲۰ جشن
۲۰:۳۰ تا ۲۲ جمع اوری
",1770446973004,Active
1404/11/29,جلسه سیزدهم ,low,"[{""type"":""game"",""name"":""فلش( قاپر)"",""desc"":"""",""items"":[{""name"":""توپ"",""type"":""have""}]},{""type"":""story"",""name"":""قسمت دوم عمادالدین بازرگان "",""desc"":"""",""items"":[{""name"":""تاج"",""type"":""buy""},{""name"":""چادر برای شنل"",""type"":""buy""}]},{""type"":""yade_hazrat"",""name"":""شروع ماه رمضان و هدیه روضه به امام زمان"",""desc"":""توضیح خلاصه ای از ماه رمضون و چندین برابر شدن ثواب ها و در قل و زنجیر بودن شیطان"",""items"":[]}]","
۱۸:۳۰ تا ۱۸:۴۵ دعا و بازی اول این خونه( گل یا پوچ)

۱۸:۴۵ تا ۱۹:۰۰ 
نقد جشن و جوایز

۱۹ تا ۱۹:۳۰ 
قسمت دوم عماد الدین

۱۹:۳۰ تا ۱۹:۴۵ پذیرایی

۱۹:۴۵ تا ۲۰:۱۵ بازی

۲۰:۱۵ تا ۲۰:۳۰ محتوای ماه رمضون",1771448422365,Active
