ID_طرح,تاریخ,عنوان,اولویت,نام_وسیله,ID_یکتا,وضعیت,نوع
1767382153858,۱۴۰۴/۰۹/۲۶,جلسه هفتم میزبان عماد,low,توپ پینگ پنگ,89506,0,have
1767382153858,۱۴۰۴/۰۹/۲۶,جلسه هفتم میزبان عماد,low,لیوان,60164,0,have
1767382153858,۱۴۰۴/۰۹/۲۶,جلسه هفتم میزبان عماد,low,چسب,4330,0,have
1767382153858,۱۴۰۴/۰۹/۲۶,جلسه هفتم میزبان عماد,low,کلاه گیس,28006,0,buy
1767382153858,۱۴۰۴/۰۹/۲۶,جلسه هفتم میزبان عماد,low,چتر,78989,0,buy
1767382153858,۱۴۰۴/۰۹/۲۶,جلسه هفتم میزبان عماد,low,چتر,40554,0,have
1767382851613,۱۴۰۴/۱۰/۰۳,جلسه هشتم میزبان علی مجردی,low,زوبین,51279,0,have
1767382851613,۱۴۰۴/۱۰/۰۳,جلسه هشتم میزبان علی مجردی,low,لیوان,934,0,have
1767382851613,۱۴۰۴/۱۰/۰۳,جلسه هشتم میزبان علی مجردی,low,توپ,37785,0,have
1767779719716,۱۴۰۴/۱۰/۱۷,جلسه دهم منزل مهدیار خاطریان,low,لبتاب,54430,0,have
1767779719716,۱۴۰۴/۱۰/۱۷,جلسه دهم منزل مهدیار خاطریان,low,hdmi,5234,0,have
1767779719716,۱۴۰۴/۱۰/۱۷,جلسه دهم منزل مهدیار خاطریان,low,پتو,49580,0,buy
1767779719716,۱۴۰۴/۱۰/۱۷,جلسه دهم منزل مهدیار خاطریان,low,لامپ شارژی,11202,0,have
1767779719716,۱۴۰۴/۱۰/۱۷,جلسه دهم منزل مهدیار خاطریان,low,لیوان پلاستیکی و کیسه فریزر,36401,0,buy
1767779719716,۱۴۰۴/۱۰/۱۷,جلسه دهم منزل مهدیار خاطریان,low,پرینت کاغذ ها,98431,0,have
1767779719716,۱۴۰۴/۱۰/۱۷,جلسه دهم منزل مهدیار خاطریان,low,قیچی و چسب,10462,0,have
1769118889922,۱۴۰۴/۱۱/۱,جلسه یازدهم خونه سجاد,low,مهره,80101,0,have
1769118889922,۱۴۰۴/۱۱/۱,جلسه یازدهم خونه سجاد,low,سیخ کباب,22857,0,have
1767381788525,1404/09/19,جلسه شیشم میزبان محمدصالح,low,بادکنک,49008,0,buy
1767381788525,1404/09/19,جلسه شیشم میزبان محمدصالح,low,کلاه گیس,81981,0,have
1767381788525,1404/09/19,جلسه شیشم میزبان محمدصالح,low,نامه اول جزیره,93964,0,buy
1767381788525,1404/09/19,جلسه شیشم میزبان محمدصالح,low,چتر,74178,0,have
1767381788525,1404/09/19,جلسه شیشم میزبان محمدصالح,low,عینک افتابی,99953,0,have
1767381788525,1404/09/19,جلسه شیشم میزبان محمدصالح,low,پرینت کاغذ ها,53848,0,buy
1769494545218,1404/11/08,جلسه دوازدهم خونه محمدمهدی,high,چسب کاغذی,60838,0,buy
1771448422365,1404/11/29,جلسه سیزدهم ,low,توپ,75891,0,have
1771448422365,1404/11/29,جلسه سیزدهم ,low,تاج,26294,0,buy
1771448422365,1404/11/29,جلسه سیزدهم ,low,چادر برای شنل,36120,0,buy
1772048991768,1404/12/06,جلسه چهاردهم ,low,قاشق,56285,0,have
1772048991768,1404/12/06,جلسه چهاردهم ,low,توپ پینگ پنگ,84371,0,have
1773280072589,۱۴۰۴/۱۲/۲۰,جلسه پونزدهم,low,لیوان,65853,0,have
1773280072589,۱۴۰۴/۱۲/۲۰,جلسه پونزدهم,low,توپ پینگ پنگ,70700,0,have
1773280072589,۱۴۰۴/۱۲/۲۰,جلسه پونزدهم,low,پاکت نامه,60869,0,have
1773280072589,۱۴۰۴/۱۲/۲۰,جلسه پونزدهم,low,پاکت نامه طلایی,3164,0,have
1773280072589,۱۴۰۴/۱۲/۲۰,جلسه پونزدهم,low,اسپیکر,58323,0,have
1773280072589,۱۴۰۴/۱۲/۲۰,جلسه پونزدهم,low,کاغذ رنگی,10725,0,have
1773280072589,۱۴۰۴/۱۲/۲۰,جلسه پونزدهم,low,پاکت نامه,13991,0,have
1773280072589,۱۴۰۴/۱۲/۲۰,جلسه پونزدهم,low,خودکار,77771,0,have
1774487307300,۱۴۰۴/۱۲/۲۷,جلسه شونزدهم,low,منجنیق,97482,0,have
1774487307300,۱۴۰۴/۱۲/۲۷,جلسه شونزدهم,low,لیوان,80553,0,have
1774487307300,۱۴۰۴/۱۲/۲۷,جلسه شونزدهم,low,زنگوله,14173,0,have
1775699763022,۱۴۰۵/۱/۱۹,جلسه هفتهم میزبانی علی,low,کاغذ اچار,14538,0,have
1776459045185,۱۴۰۵/۱/۲۶,جلسه هجدهم منزل سجاد,low,طلق دوز,77432,0,have
1776459045185,۱۴۰۵/۱/۲۶,جلسه هجدهم منزل سجاد,low,اکسسوری های نمایش,9892,0,have
